predictor,predictor_column,lag_cycles,bins,n,target_entropy_bits,route_mi_bits,predictor_mi_bits,joint_route_predictor_mi_bits,predictor_given_route_mi_bits,route_given_predictor_mi_bits,null_median_predictor_given_route_mi_bits,corrected_predictor_given_route_mi_bits,corrected_predictor_given_route_norm,bootstrap_median_corrected_bits,bootstrap_q025_corrected_bits,bootstrap_q975_corrected_bits,shift_p
top-5% tail,tail_z,0,4,150,1.999871756640849,0.9502805004553825,0.12639520408206395,1.290108817275337,0.33982831681995446,1.163713613193273,0.25933067638038665,0.08049764043956781,0.040251401207234576,0.10180814719620573,-0.012550510265887386,0.23198193196776157,0.05742821473158552
top-5% tail,tail_z,0,5,150,2.321928094887362,1.152162016414139,0.23572229305709075,1.6093308995243758,0.4571688831102371,1.3736086064672854,0.3493337406263294,0.10783514248390774,0.04644206800432331,0.13900013007894957,0.0024883615057295977,0.2863524815500356,0.019975031210986267
top-5% tail,tail_z,2,2,140,1.0,0.488562019744485,0.029049405545331364,0.5833551969064629,0.09479317716197792,0.5543057913611315,0.0601188162694525,0.03467436089252542,0.03467436089252542,0.023148303988170103,-0.035551742406341943,0.11026167097301602,0.0986267166042447
top-5% tail,tail_z,2,3,140,1.5848887166855343,0.9028678083946755,0.07123247424386517,1.144057173680721,0.24118936528604534,1.0728246994368558,0.2022976264427862,0.03889173884325914,0.024539097561747512,0.04085506824115938,-0.04792056721921509,0.1399889632968534,0.07865168539325842
top-5% tail,tail_z,2,4,140,2.0,1.0546336038460198,0.12940271191693326,1.357956844808589,0.30332324096256896,1.2285541328916558,0.2692057740626176,0.034117466899951376,0.017058733449975688,0.06381529169880282,-0.027631430897289855,0.1959227139296284,0.2222222222222222
top-5% tail,tail_z,2,5,140,2.321928094887362,1.284004746798824,0.2551441801083566,1.6508782930389818,0.36687354624015805,1.3957341129306253,0.318739903440255,0.048133642799903065,0.020730031608596412,0.11355571469654177,-0.00013558084686011396,0.24899400356677673,0.16229712858926343
top-5% tail,tail_z,4,2,130,1.0,0.49410170989811536,0.03876339527712422,0.6132855406276175,0.1191838307295023,0.5745221453504934,0.06791582188324852,0.05126800884625378,0.05126800884625378,0.03948384745854576,-0.039899059890179216,0.1557879148694709,0.09238451935081149
top-5% tail,tail_z,4,3,130,1.5848773505329043,0.906116204587619,0.10491442526867699,1.1350289020248352,0.22891269743721612,1.0301144767561583,0.19201349311949756,0.036899204317718565,0.023282056687422188,0.06393253248523878,-0.04262414842816893,0.16622311597603323,0.15106117353308365
top-5% tail,tail_z,4,4,130,1.9998292601233936,1.0739237533495178,0.19803470750761265,1.412620285468295,0.33869653211877704,1.214585577960682,0.26758028213541907,0.07111624998335797,0.03556116084578638,0.07684673911796444,-0.03277860891300144,0.2070186550104658,0.07615480649188515
top-5% tail,tail_z,4,5,130,2.321928094887362,1.3444440397389388,0.301064894040042,1.6704348483538134,0.32599080861487467,1.3693699543137716,0.3321678318644048,-0.0061770232495301225,-0.002660299112246959,0.1068683122092941,-0.023511237419762798,0.2814695604447624,0.5530586766541823
