regime_id,cycle,memory_coordinate,hot_excitation_coordinate,overload_number,overload_response_asinh,overload_readout_projection,post_map_output_projection,dangerous_input_projection
R6c,16,-0.2495233018987829,-0.2713364435180581,5.052495806182546,1.656935500780594,-0.1845380817544961,-0.14510399874069238,-0.29286048487945027
R6c,17,-0.3338017776840794,-0.1099384109987103,5.5712285596124005,1.7483794050379629,-0.096775639234457,-0.06925523173944957,-0.1397764425768789
R6c,18,-0.3140825652514444,-0.1393579487175205,4.751246657128263,1.6000214842207405,-0.1123609029050016,-0.08288499818417182,-0.16728512631017997
R6c,19,-0.4395788440401266,-0.2914544743938368,4.5722479532639895,1.564731731247691,-0.21444376920504232,-0.16357619832201928,-0.3301425541065355
R6c,20,-0.269878463283372,-0.2721145290083753,5.679286281566324,1.7664792713982311,-0.1869245049070405,-0.14640315107886914,-0.29548253793789586
R6c,21,-0.4164011720600044,-0.4400689293414621,4.30868434449933,1.5106029826887957,-0.3004017643331038,-0.23586446183353652,-0.476040503762002
R6c,22,-0.3084165713418222,-0.1233276988970885,5.382927936904656,1.7160830366757227,-0.10231684143218227,-0.07472048033768343,-0.15080684400176156
R6c,23,-0.3342067156754084,-0.4279747535887206,5.047436657719826,1.6560040700768948,-0.2854553721301614,-0.22620117988187635,-0.4565372959768922
R6c,24,-0.3866113282000066,-0.1475451043893673,5.155794106464999,1.6757791336099093,-0.1240758225049139,-0.09018585456910232,-0.18202029804550146
R6c,25,-0.3762134396595352,-0.2575901581902543,4.5825968762458675,1.5668034732221927,-0.18836513070576758,-0.14401754556032018,-0.29066771825713805
R6c,26,-0.4003231315236201,-0.2737444410276422,5.041628144916011,1.6549336797125744,-0.2002269083928927,-0.15307254390942615,-0.3089432394703114
R6c,27,-0.3379563735118994,-0.4648256865556925,4.068094254880477,1.4587589485500425,-0.3076678826169821,-0.2445530227044424,-0.4935764515762681
R6c,28,-0.3735362077675651,-0.4828760447419762,4.098369314256581,1.4654176061312671,-0.3217389920484924,-0.2550593250260373,-0.5147811104340223
R6c,29,-0.3960134447980432,-0.6615895812808568,4.162775588037278,1.4794517942719871,-0.4298674875745011,-0.3442520601577409,-0.6947970154751687
R6c,30,-0.4087640387598529,-0.2228855008134296,4.785147278607196,1.6065778483861053,-0.1708584414165771,-0.12835689234579664,-0.25906013656581356
