perm,run,tag,regime_id,cycle,null_beta1_birth_area_delta,overload_asinh,beta1_birth_area_delta
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.041379934404156715,-0.5959548111117786,-0.0257654452831076
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04381933249478687,-0.5959548111117786,-0.0257654452831076
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04337325715062379,-0.5959548111117786,-0.0257654452831076
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.042981048696085156,-0.5959548111117786,-0.0257654452831076
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04373430378235904,-0.5959548111117786,-0.0257654452831076
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.042191559156177894,-0.5959548111117786,-0.0257654452831076
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.040515811168626126,-0.5959548111117786,-0.0257654452831076
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.040237903080826976,-0.5959548111117786,-0.0257654452831076
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.042928799634777415,-0.5959548111117786,-0.0257654452831076
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04483121726185618,-0.5959548111117786,-0.0257654452831076
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04247270273185433,-0.5959548111117786,-0.0257654452831076
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.041434164842846455,-0.5959548111117786,-0.0257654452831076
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04420748284224241,-0.5959548111117786,-0.0257654452831076
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.041491402316019776,-0.5959548111117786,-0.0257654452831076
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04455972707057976,-0.5959548111117786,-0.0257654452831076
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.0416824537957845,-0.5959548111117786,-0.0257654452831076
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04185068189091484,-0.5959548111117786,-0.0257654452831076
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04009518565196818,-0.5959548111117786,-0.0257654452831076
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04040914409782076,-0.5959548111117786,-0.0257654452831076
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04446076306225438,-0.5959548111117786,-0.0257654452831076
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.039622322881562255,-0.5959548111117786,-0.0257654452831076
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04021990633933642,-0.5959548111117786,-0.0257654452831076
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04197651727631668,-0.5959548111117786,-0.0257654452831076
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.060312396513050315,-0.6824431173445462,-0.0278520470529016
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05740346659327322,-0.6824431173445462,-0.0278520470529016
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05548915669001114,-0.6824431173445462,-0.0278520470529016
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.057205107418954015,-0.6824431173445462,-0.0278520470529016
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.05750472849493038,-0.6824431173445462,-0.0278520470529016
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.0548954016838451,-0.6824431173445462,-0.0278520470529016
