run,tag,regime_id,cycle,phase,n_contacts,edge_fraction,rank,beta1_birth_density,loop_force_share_partial,giant_component_fraction,added_force_fraction
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,hot,17059,0.05,853,0.4865181711606096,0.120267261366156,0.0008537279453614,0.2474914032536054
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,hot,17059,0.1,1706,0.4900351699882767,0.1888558064743599,0.0017074558907228,0.3863934465238546
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,hot,17059,0.2,3412,0.4894490035169988,0.2818381635844563,0.0049800796812749,0.576515702309677
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,hot,17059,0.4,6824,0.4983880422039859,0.3967379661615831,0.0892145702902675,0.8034032303158328
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,hot,17059,0.8,13648,0.5647713950762017,0.5061412091885984,0.7252418895845191,0.9839815938246932
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,hot,17059,1.0,17059,0.6149832932762764,0.518710474386625,0.8346613545816733,0.9999999999999972
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,cold,2042,0.01,21,0.4285714285714285,0.0267471171199254,0.0011648223645894,0.0615986074023569
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,cold,2042,0.02,41,0.4634146341463415,0.0483903917151142,0.0017472335468841,0.1041978586615666
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,cold,2042,0.05,103,0.4951456310679611,0.1025897259647317,0.0017472335468841,0.2089671831607341
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,cold,2042,0.1,205,0.4878048780487805,0.1643648676723724,0.0023296447291788,0.3380378088264738
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,cold,2042,0.2,409,0.4865525672371638,0.2591694548722622,0.0029120559114735,0.5336216053874099
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,cold,2042,0.4,817,0.4895960832313341,0.3823408082582667,0.0034944670937682,0.7830116728705198
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,cold,2042,0.8,1634,0.4883720930232558,0.4808974366531104,0.0069889341875364,0.984090549033188
