tag,label,phase,force_over_mean,ccdf
a050_mu010_g002,memory-rich,cold,1.2309018472058706,0.3133237410071943
a050_mu010_g002,memory-rich,cold,1.2394900590374007,0.3097338129496403
a050_mu010_g002,memory-rich,cold,1.2480226054287102,0.3061438848920863
a050_mu010_g002,memory-rich,cold,1.2576464197534132,0.30255395683453234
a050_mu010_g002,memory-rich,cold,1.2674328980730871,0.29896402877697836
a050_mu010_g002,memory-rich,cold,1.2753459721921392,0.2953741007194245
a050_mu010_g002,memory-rich,cold,1.2839253117328917,0.2917841726618705
a050_mu010_g002,memory-rich,cold,1.2918082088003517,0.28819424460431653
a050_mu010_g002,memory-rich,cold,1.298835677227136,0.28460431654676255
a050_mu010_g002,memory-rich,cold,1.3069643574281395,0.2810143884892087
a050_mu010_g002,memory-rich,cold,1.3167680081409585,0.2774244604316547
a050_mu010_g002,memory-rich,cold,1.3274856342652648,0.2738345323741007
a050_mu010_g002,memory-rich,cold,1.3376871755661517,0.27024460431654673
a050_mu010_g002,memory-rich,cold,1.3477610816997099,0.26665467625899275
a050_mu010_g002,memory-rich,cold,1.3579000125166292,0.2630647482014389
a050_mu010_g002,memory-rich,cold,1.3683404647718729,0.2594748201438849
a050_mu010_g002,memory-rich,cold,1.379830023452659,0.2558848920863309
a050_mu010_g002,memory-rich,cold,1.389274548601667,0.25229496402877694
a050_mu010_g002,memory-rich,cold,1.4004311730929027,0.24870503597122307
a050_mu010_g002,memory-rich,cold,1.412915904265205,0.24511510791366908
a050_mu010_g002,memory-rich,cold,1.4246023734588737,0.2415251798561151
a050_mu010_g002,memory-rich,cold,1.4359470193541446,0.23793525179856112
a050_mu010_g002,memory-rich,cold,1.4485344768905823,0.23434532374100714
a050_mu010_g002,memory-rich,cold,1.456597537967873,0.23075539568345316
a050_mu010_g002,memory-rich,cold,1.4676661605313732,0.2271654676258993
a050_mu010_g002,memory-rich,cold,1.4805002465703745,0.2235755395683453
a050_mu010_g002,memory-rich,cold,1.4898418386476693,0.21998561151079143
a050_mu010_g002,memory-rich,cold,1.4994808791069458,0.21639568345323745
a050_mu010_g002,memory-rich,cold,1.5110751372471454,0.21280575539568347
a050_mu010_g002,memory-rich,cold,1.5255242415955668,0.2092158273381295
a050_mu010_g002,memory-rich,cold,1.5362620323129683,0.2056258992805755
a050_mu010_g002,memory-rich,cold,1.5504092472941717,0.20203597122302153
