run,cycle,phase,persistent_edges,created_edges,broken_edges,jaccard,persistent_fraction_of_current,created_fraction_of_current,broken_fraction_of_previous
R3_intermediate,28,cold_to_hot,6331,15846,1979,0.2620880940553072,0.2854759435451143,0.7145240564548857,0.2381468110709988
R3_intermediate,29,cold_to_hot,7297,14889,2468,0.2959763121602985,0.328901108807356,0.671098891192644,0.2527393753200205
R3_intermediate,30,cold_to_hot,6204,15785,2101,0.25753424657534246,0.28214107053526766,0.7178589294647324,0.25298013245033113
R6_high_expansion_high_friction,2,cold,3374,4910,4965,0.25466072911163107,0.4072911636890391,0.5927088363109609,0.5953951313107088
R6_high_expansion_high_friction,3,cold,4126,5542,4158,0.2984232605236511,0.4267687215556475,0.5732312784443525,0.5019314340898117
R6_high_expansion_high_friction,4,cold,5023,4435,4645,0.3561653548890307,0.5310847959399451,0.468915204060055,0.4804509722796856
R6_high_expansion_high_friction,5,cold,2335,4435,7123,0.16807025120564312,0.344903988183161,0.655096011816839,0.753119052653838
R6_high_expansion_high_friction,6,cold,1733,4904,5037,0.14844954599965735,0.2611119481693536,0.7388880518306464,0.7440177252584933
R6_high_expansion_high_friction,7,cold,1834,4835,4803,0.15986750348675036,0.27500374868795924,0.7249962513120408,0.7236703329817689
R6_high_expansion_high_friction,8,cold,1868,4532,4801,0.16677082403356844,0.291875,0.708125,0.7198980356875093
R6_high_expansion_high_friction,9,cold,1863,4525,4537,0.1705263157894737,0.29164057608015026,0.7083594239198497,0.70890625
R6_high_expansion_high_friction,10,cold,1940,4262,4448,0.18215962441314554,0.31280232183166723,0.6871976781683328,0.6963055729492799
R6_high_expansion_high_friction,11,cold,1826,4363,4376,0.17283483199242783,0.2950395863629019,0.704960413637098,0.7055788455336988
R6_high_expansion_high_friction,12,cold,1724,4392,4465,0.1629335601549948,0.2818835840418574,0.7181164159581426,0.7214412667636129
R6_high_expansion_high_friction,13,cold,1820,4879,4296,0.16552978626648476,0.2716823406478579,0.7283176593521421,0.7024198822759974
R6_high_expansion_high_friction,14,cold,1821,4153,4878,0.16780316992259492,0.30482089052561095,0.695179109474389,0.7281683833407971
R6_high_expansion_high_friction,15,cold,1714,4703,4260,0.1605319846398801,0.26710300763596695,0.732896992364033,0.713090056913291
R6_high_expansion_high_friction,16,cold,1618,4238,4799,0.15185358986391365,0.27629781420765026,0.7237021857923497,0.7478572541686146
R6_high_expansion_high_friction,17,cold,1744,5104,4112,0.1591240875912409,0.2546728971962617,0.7453271028037384,0.7021857923497268
R6_high_expansion_high_friction,18,cold,1753,4160,5095,0.15924781976744187,0.29646541518687636,0.7035345848131236,0.7440128504672897
R6_high_expansion_high_friction,19,cold,1931,6129,3982,0.16035542268726125,0.23957816377171215,0.7604218362282879,0.6734314222898697
R6_high_expansion_high_friction,20,cold,2163,3701,5897,0.18391293257376073,0.36886084583901774,0.6311391541609823,0.7316377171215881
R6_high_expansion_high_friction,21,cold,2152,5976,3712,0.18175675675675676,0.26476377952755903,0.735236220472441,0.6330150068212824
R6_high_expansion_high_friction,22,cold,2117,3557,6011,0.1811724433033804,0.3731053930207966,0.6268946069792034,0.7395423228346457
R6_high_expansion_high_friction,23,cold,2109,6278,3565,0.1764558232931727,0.25146059377608204,0.748539406223918,0.6283045470567501
R6_high_expansion_high_friction,24,cold,2156,3572,6231,0.18028263232711766,0.37639664804469275,0.6236033519553073,0.7429354954095624
R6_high_expansion_high_friction,25,cold,2206,6465,3522,0.1809234806856393,0.2544112559105063,0.7455887440894937,0.6148743016759777
R6_high_expansion_high_friction,26,cold,2222,3455,6449,0.18324261916542967,0.39140391051611767,0.6085960894838823,0.7437435128589551
R6_high_expansion_high_friction,27,cold,2199,6147,3478,0.18597767253044656,0.26347951114306256,0.7365204888569374,0.6126475251012858
R6_high_expansion_high_friction,28,cold,2155,3460,6191,0.182534304590886,0.383793410507569,0.616206589492431,0.7417924754373353
R6_high_expansion_high_friction,29,cold,2208,6706,3407,0.1792062332602873,0.24770024680278213,0.7522997531972179,0.6067675868210152
R6_high_expansion_high_friction,30,cold,2256,3286,6658,0.18491803278688523,0.4070732587513533,0.5929267412486467,0.7469149652232443
