run,cycle,phase,persistent_edges,created_edges,broken_edges,jaccard,persistent_fraction_of_current,created_fraction_of_current,broken_fraction_of_previous
R3_intermediate,29,hot,17059,5127,5118,0.6247802519777322,0.7689083205625169,0.2310916794374831,0.2307796365604004
R3_intermediate,30,hot,16857,5132,5329,0.6170656709861629,0.7666105780162809,0.23338942198371912,0.24019652032813485
R3_intermediate,1,cold_to_hot,10317,9839,5131,0.40799620358286864,0.5118575114109942,0.4881424885890058,0.33214655618850336
R3_intermediate,2,cold_to_hot,6014,15637,2067,0.2535626949995784,0.27777007990393054,0.7222299200960695,0.2557851751020913
R3_intermediate,3,cold_to_hot,6562,16184,1918,0.26605578981511513,0.2884902840059791,0.7115097159940209,0.22617924528301886
R3_intermediate,4,cold_to_hot,5865,16761,1799,0.24012282497441145,0.2592150623176876,0.7407849376823123,0.2347338204592902
R3_intermediate,5,cold_to_hot,6914,15444,2067,0.28307062436028657,0.3092405402987745,0.6907594597012255,0.23015254426010467
R3_intermediate,6,cold_to_hot,5848,16244,1921,0.24353475200932828,0.26471120767698714,0.7352887923230128,0.24726477024070023
R3_intermediate,7,cold_to_hot,7340,14700,2309,0.30144975152983694,0.33303085299455537,0.6669691470054446,0.23929940926520882
R3_intermediate,8,cold_to_hot,6053,15708,1999,0.25475589225589224,0.27815817287808464,0.7218418271219154,0.24826130153999007
R3_intermediate,9,cold_to_hot,7452,14677,2375,0.30411361410381976,0.33675267748203713,0.6632473225179628,0.24168108273125063
R3_intermediate,10,cold_to_hot,6101,15690,1916,0.25735014974480114,0.27997797255747786,0.7200220274425222,0.23899214169888985
R3_intermediate,11,cold_to_hot,7549,14487,2487,0.3078334624638095,0.3425757850789617,0.6574242149210383,0.247807891590275
R3_intermediate,12,cold_to_hot,5946,15854,1913,0.2507485345591026,0.27275229357798164,0.7272477064220183,0.2434151927726174
R3_intermediate,13,cold_to_hot,7448,14433,2437,0.30627518710420265,0.34038663680818976,0.6596133631918103,0.24653515427415276
R3_intermediate,14,cold_to_hot,6250,15390,2029,0.2640584731082851,0.2888170055452865,0.7111829944547134,0.24507790795989853
R3_intermediate,15,cold_to_hot,7144,14881,2347,0.29312325619563434,0.3243586833144154,0.6756413166855846,0.2472869033821515
R3_intermediate,16,cold_to_hot,6229,15560,1972,0.26215226631875765,0.2858781954197072,0.7141218045802928,0.24045848067308864
R3_intermediate,17,cold_to_hot,7073,15083,2341,0.2887292321508756,0.3192363242462538,0.6807636757537462,0.24867219035479074
R3_intermediate,18,cold_to_hot,6124,15667,2077,0.25657784481313894,0.2810334541783305,0.7189665458216695,0.2532617973417876
R3_intermediate,19,cold_to_hot,7158,14801,2439,0.29338470366423475,0.3259711280112938,0.6740288719887062,0.2541419193497968
R3_intermediate,20,cold_to_hot,6309,15533,2013,0.264472856843429,0.2888471751671092,0.7111528248328908,0.24188896899783704
R3_intermediate,21,cold_to_hot,7169,15029,2426,0.291138726445744,0.3229570231552392,0.6770429768447608,0.25284002084418966
R3_intermediate,22,cold_to_hot,6354,15403,2016,0.26727800445883987,0.29204393988141747,0.7079560601185825,0.24086021505376345
R3_intermediate,23,cold_to_hot,7176,15058,2416,0.2911156186612576,0.3227489430601781,0.6772510569398219,0.2518765638031693
R3_intermediate,24,cold_to_hot,6220,15873,1982,0.2583592938733126,0.2815371384601458,0.7184628615398543,0.24164837844428189
R3_intermediate,25,cold_to_hot,7169,15031,2344,0.29208767926988266,0.3229279279279279,0.6770720720720721,0.24639966361820667
R3_intermediate,26,cold_to_hot,6257,15888,2000,0.2591426796438186,0.2825468503048092,0.7174531496951908,0.24221872350732712
R3_intermediate,27,cold_to_hot,7196,15089,2398,0.29153668516792935,0.3229077855059457,0.6770922144940543,0.24994788409422555
