run,cycle,phase,contacts,Z_geom,mean_positive_overlap_m,overlap_p90_m,overlap_p99_m,orientation_entropy,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,cycle_births_during_overlap_filtration,cycle_birth_count,cycle_birth_positive_count,cycle_birth_overlap_median,cycle_birth_overlap_p90,cycle_birth_positive_fraction,force_proxy_q99_q50,force_proxy_gini,net_force_p99_N
R1_low_expansion_low_friction,6,hot,25526.0,5.049154386311938,1.1482860262230287e-07,1.5542704212957812e-07,3.8073201248000265e-07,0.9351556436700639,0.41118859202381886,0.0006659876204654078,0.0800118682622886,0.15122144199386806,15599.0,15599.0,3525.0,0.0,6.714674501730193e-08,0.22597602410410925,11.60504339554742,0.5770415520766793,0.0003007272980635
R1_low_expansion_low_friction,7,cold,18096.0,3.579467906240728,3.515776651458815e-07,5.408602757395794e-07,8.031595122363856e-07,0.9467576289207464,,0.00027630415561450045,0.002274750271981011,0.018494708733063,9396.0,9396.0,4990.0,5.4362437602699376e-08,3.702386613004373e-07,0.5310770540655598,3.991397011802992,0.4106190947675994,0.0007223286367928
R1_low_expansion_low_friction,7,hot,25662.0,5.076055780832756,1.114978052904252e-07,1.5028708899443751e-07,3.8462107631613403e-07,0.9344457402429254,0.41411425453978645,0.0009352349777881693,0.08179210760557808,0.1539907031945406,15720.0,15720.0,3405.0,0.0,6.125651102529586e-08,0.21660305343511452,13.09341031361232,0.5989263579695748,0.0002549532156592
R1_low_expansion_low_friction,8,cold,17904.0,3.541489466917219,3.4337142007093673e-07,5.289330357300878e-07,7.899192032586504e-07,0.9468117618743516,0.8735478105451295,0.0021224307417336908,0.002769261200672535,0.06092374641479577,9281.0,9281.0,4880.0,4.4791327808444206e-08,3.6336774079243073e-07,0.525805408899903,4.090037285572669,0.416311130521461,0.0007099109136508
R1_low_expansion_low_friction,8,hot,25780.0,5.099396696666997,1.1188666719108838e-07,1.4312292314626776e-07,3.807292346609881e-07,0.9335956174743888,0.5074088440651668,0.0005818463925523662,0.08258332509148453,0.1542874097517555,15799.0,15799.0,3117.0,0.0,5.6676186618561186e-08,0.19729096778277105,12.969973532211991,0.5961807932505823,0.0002615323739535
R1_low_expansion_low_friction,9,cold,17861.0,3.5329838789437247,3.4058071236796836e-07,5.25416703439684e-07,7.907892193900514e-07,0.947151820248786,0.9419405408431779,0.00027993953306085885,0.005439620215606765,0.021461774305212147,9209.0,9209.0,4864.0,4.3534026183001534e-08,3.5936813300124596e-07,0.528178955369747,4.164662680643757,0.4204306151580176,0.0007425153487429
R1_low_expansion_low_friction,9,hot,25866.0,5.116407872613984,1.1009379594751659e-07,1.4284785799774467e-07,3.5470608329750297e-07,0.9334863216324472,0.3379339673702931,0.0007732158045310446,0.07744041143309267,0.15329838789437247,15900.0,15900.0,3041.0,0.0,5.3946698342862734e-08,0.19125786163522013,12.228158433918386,0.589947526020888,0.0002286200112531
R1_low_expansion_low_friction,10,cold,17923.0,3.5452477499752746,3.4885378099729273e-07,5.351575705102741e-07,8.018462643226062e-07,0.9470253809106405,0.9905707749818669,0.0011158846175305472,0.004351696172485412,0.026011274849174166,9262.0,9262.0,4927.0,5.887425950251192e-08,3.725699301136307e-07,0.5319585402720794,3.961150005324601,0.4135549045610853,0.0007103891094895
R1_low_expansion_low_friction,10,hot,26074.0,5.15755118188112,1.137687364905556e-07,1.4859229422682554e-07,3.975126720789494e-07,0.9330888479960098,0.5255426862008131,7.670476336580502e-05,0.08742953219266146,0.15834239936702602,16126.0,16126.0,3355.0,0.0,6.093530578439674e-08,0.20804911323328787,14.042604926645769,0.6008724338279066,0.0002369195349165
R1_low_expansion_low_friction,11,cold,17912.0,3.5430719018890318,3.37246696041364e-07,5.161403851515e-07,7.636939596276119e-07,0.9469861244810373,0.9312192943278249,0.00033497096918267083,0.003956087429532192,0.07862723766195233,9242.0,9242.0,4770.0,2.7573034106702192e-08,3.529179839596285e-07,0.5161220515040035,3.947470943806285,0.4140213683747255,0.000644669336094
R1_low_expansion_low_friction,11,hot,26021.0,5.147067550192859,1.1567668960766469e-07,1.5018342889097647e-07,3.9547928474270574e-07,0.932142079368721,0.24853003343453364,0.0004995964797663426,0.08278112946296114,0.1621995846108199,16065.0,16065.0,3406.0,0.0,6.334499471380255e-08,0.21201369436663553,14.182070475600584,0.6001276160087512,0.000236099042901
R1_low_expansion_low_friction,12,cold,18114.0,3.583028384927307,3.4441518104777996e-07,5.234565055457297e-07,7.933094733300542e-07,0.9456742673189166,0.8576239372860771,0.0004968532626697582,0.0020769459005044013,0.02442883987736129,9387.0,9387.0,4823.0,2.3617633691840403e-08,3.6119986707061796e-07,0.5137956748695004,4.034421267235872,0.4156916524546365,0.0006981789006391
